"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.616688200E-2,1.970562935E-1,-3.885989189E-1,-3.189082146E-1
2.439645900E-2,2.730290890E-1,-4.624423981E-1,2.437877655E-2
3.259572800E-2,2.929139137E-1,-4.482173920E-1,4.850473404E-1
4.071457400E-2,3.215110302E-1,-4.007120132E-1,6.856150627E-1
4.886799700E-2,3.509950638E-1,-3.713827133E-1,7.681603432E-1
5.700442000E-2,3.764081001E-1,-3.537340164E-1,7.632856369E-1
6.525149700E-2,3.529627323E-1,-3.205161095E-1,6.110877991E-1
7.344884300E-2,3.270764351E-1,-3.049240112E-1,4.314742088E-1
8.164630500E-2,2.775275707E-1,-2.682399750E-1,2.338371277E-1
8.984495900E-2,2.163522243E-1,-2.540812492E-1,9.668254852E-2
9.804284300E-2,1.364588737E-1,-2.751808167E-1,1.665401459E-2
1.062476120E-1,7.999324799E-2,-2.916278839E-1,-5.515956879E-2
1.144431890E-1,2.386975288E-2,-2.529225349E-1,-5.025339127E-2
1.225948820E-1,1.771616936E-2,-2.069516182E-1,5.872011185E-2
1.307921120E-1,1.515722275E-2,-1.618566513E-1,1.706771851E-1
1.389877280E-1,8.474302292E-2,-1.121654510E-1,2.379956245E-1
1.472276510E-1,1.503715515E-1,-1.062459946E-1,2.254490852E-1
1.554258430E-1,1.731054783E-1,-1.492328644E-1,2.325153351E-1
1.636219580E-1,1.183476448E-1,-1.301631927E-1,2.646884918E-1
1.718180350E-1,2.902626991E-2,-6.900501251E-2,3.260898590E-1
1.800152660E-1,3.811669350E-2,-4.553937912E-2,3.286242485E-1
1.882254200E-1,8.379220963E-2,-5.641937256E-3,2.876338959E-1
1.964229970E-1,6.353116035E-2,-1.301765442E-2,2.173929214E-1
2.046198040E-1,-3.386545181E-2,-2.151727676E-2,1.094689369E-1
2.128169200E-1,-4.234099388E-2,-9.023189545E-3,2.343797684E-2
2.210141890E-1,-8.047413826E-2,1.306056976E-3,1.286363602E-2
