"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
9.630223040E-1,6.494406260E1,2.539239850E1,1.078580589E1,NaN,NaN,1.347799969E1,1.000000000E0
2.258094652E0,6.494412198E1,2.539235464E1,1.048585426E1,7.000000030E-2,0.000000000E0,3.850000000E1,6.600000000E1
3.294514498E0,6.494408531E1,2.539232053E1,-5.514177934E0,1.299999952E-1,0.000000000E0,1.100000000E1,2.000000000E1
4.317896189E0,6.494408988E1,2.539231692E1,1.485825869E0,1.799999923E-1,3.373999939E2,1.450000000E1,3.000000000E1
5.285944650E0,6.494407257E1,2.539226688E1,-5.141902253E-1,9.999999776E-3,0.000000000E0,9.000000000E0,1.700000000E1
6.289635457E0,6.494407488E1,2.539226747E1,4.858117572E-1,0.000000000E0,NaN,1.200000000E1,2.200000000E1
7.292523380E0,6.494408070E1,2.539229052E1,-7.514182662E0,1.999999881E-1,3.076000061E2,9.500000000E0,1.800000000E1
8.282424071E0,6.494410191E1,2.539231885E1,-6.514163815E0,1.700000018E-1,3.150000000E2,8.000000000E0,1.500000000E1
9.284625455E0,6.494411905E1,2.539232505E1,-5.514149023E0,2.399999946E-1,3.525000000E2,7.500000000E0,1.300000000E1
1.029087172E1,6.494413657E1,2.539232338E1,3.485865882E0,5.999999866E-2,0.000000000E0,6.500000000E0,1.100000000E1
1.128219680E1,6.494413694E1,2.539232271E1,3.485866186E0,0.000000000E0,NaN,7.000000000E0,1.200000000E1
1.228344834E1,6.494414939E1,2.539231592E1,7.485876629E0,4.999999702E-2,0.000000000E0,6.500000000E0,1.000000000E1
1.328536341E1,6.494414549E1,2.539231835E1,6.485873367E0,7.000000030E-2,0.000000000E0,6.000000000E0,9.000000000E0
1.427441776E1,6.494413711E1,2.539232564E1,5.485866407E0,9.999999404E-2,0.000000000E0,5.500000000E0,8.000000000E0
1.526151591E1,6.494413615E1,2.539232723E1,4.485865627E0,1.199999973E-1,0.000000000E0,5.000000000E0,8.000000000E0
1.626083610E1,6.494413154E1,2.539233587E1,2.485861921E0,1.999999881E-1,1.626000061E2,5.000000000E0,8.000000000E0
1.727322283E1,6.494412823E1,2.539234014E1,2.485859209E0,5.999999866E-2,0.000000000E0,4.500000000E0,6.000000000E0
1.830708626E1,6.494412152E1,2.539233536E1,4.858533598E-1,3.100000024E-1,2.008999939E2,4.000000000E0,6.000000000E0
1.928615410E1,6.494412320E1,2.539233503E1,2.485854782E0,1.400000006E-1,0.000000000E0,4.000000000E0,6.000000000E0
2.028251810E1,6.494412282E1,2.539233545E1,2.485854471E0,0.000000000E0,NaN,4.000000000E0,6.000000000E0
2.128910729E1,6.494412592E1,2.539233201E1,3.485857026E0,1.199999973E-1,0.000000000E0,4.000000000E0,6.000000000E0
2.227494545E1,6.494412425E1,2.539232841E1,2.485855500E0,1.799999923E-1,3.327000122E2,4.000000000E0,5.000000000E0
2.326631291E1,6.494413150E1,2.539232237E1,1.485861528E0,2.099999934E-1,3.162000122E2,4.000000000E0,6.000000000E0
2.426769525E1,6.494413933E1,2.539230770E1,4.858678276E-1,1.799999923E-1,4.000000060E-1,4.000000000E0,5.000000000E0
2.528797844E1,6.494413527E1,2.539230745E1,-5.141356482E-1,5.999999866E-2,0.000000000E0,3.500000000E0,5.000000000E0
2.628042064E1,6.494413573E1,2.539229580E1,-5.141355634E-1,2.500000000E-1,2.928999939E2,3.500000000E0,5.000000000E0
2.730449552E1,6.494413007E1,2.539229639E1,-5.141403760E-1,4.099999964E-1,1.846999969E2,3.500000000E0,5.000000000E0
2.830538433E1,6.494412739E1,2.539228633E1,-5.141429313E-1,2.699999809E-1,3.137000122E2,3.500000000E0,5.000000000E0
2.929184594E1,6.494412517E1,2.539229287E1,-2.514144654E0,4.299999774E-1,3.420000076E1,3.500000000E0,4.000000000E0
3.028773156E1,6.494412525E1,2.539229530E1,-2.514144518E0,3.499999940E-1,9.300000191E0,4.000000000E0,5.000000000E0
3.129059567E1,6.494413388E1,2.539229848E1,-2.514137066E0,2.599999905E-1,1.950000000E1,3.000000000E0,4.000000000E0
3.229353517E1,6.494413548E1,2.539229237E1,-2.514135869E0,2.099999934E-1,9.100000000E1,3.000000000E0,4.000000000E0
3.328618621E1,6.494414151E1,2.539228809E1,-1.514130832E0,6.399999857E-1,1.100000000E1,3.000000000E0,4.000000000E0
3.429363367E1,6.494414428E1,2.539229857E1,-1.514128194E0,6.599999666E-1,1.400000000E1,3.000000000E0,4.000000000E0
3.529107228E1,6.494415056E1,2.539230318E1,-1.514122707E0,9.799999595E-1,1.770000076E1,3.000000000E0,3.000000000E0
3.629319094E1,6.494415878E1,2.539230485E1,-5.141156530E-1,7.299999595E-1,1.230000019E1,3.000000000E0,3.000000000E0
3.730867397E1,6.494416628E1,2.539230335E1,-1.514109291E0,8.399999738E-1,3.270000076E1,2.500000000E0,3.000000000E0
3.829032447E1,6.494417269E1,2.539231173E1,-1.514103597E0,6.399999857E-1,4.700000000E1,2.500000000E0,3.000000000E0
3.930108136E1,6.494417517E1,2.539232715E1,-2.514101078E0,6.899999976E-1,6.350000000E1,2.500000000E0,3.000000000E0
